"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US06","California","39356104","*****",
"1400000US06001433200","Census Tract 4332; Alameda County; California","8120","1285",
"1400000US06001433300","Census Tract 4333; Alameda County; California","7367","927",
"1400000US06001433400","Census Tract 4334; Alameda County; California","6040","991",
"1400000US06001433500","Census Tract 4335; Alameda County; California","4311","732",
"1400000US06001433600","Census Tract 4336; Alameda County; California","5844","646",
"1400000US06001433700","Census Tract 4337; Alameda County; California","3125","470",
"1400000US06001433801","Census Tract 4338.01; Alameda County; California","3528","607",
"1400000US06001433802","Census Tract 4338.02; Alameda County; California","4301","650",
"1400000US06001433900","Census Tract 4339; Alameda County; California","7187","1004",
"1400000US06001434000","Census Tract 4340; Alameda County; California","5166","602",
"1400000US06001435102","Census Tract 4351.02; Alameda County; California","6137","604",
"1400000US06001435103","Census Tract 4351.03; Alameda County; California","7774","1027",
"1400000US06001435104","Census Tract 4351.04; Alameda County; California","6856","1007",
"1400000US06001435200","Census Tract 4352; Alameda County; California","4647","571",
"1400000US06001435300","Census Tract 4353; Alameda County; California","4812","534",
"1400000US06001435400","Census Tract 4354; Alameda County; California","5048","633",
"1400000US06001435500","Census Tract 4355; Alameda County; California","4153","677",
"1400000US06001435601","Census Tract 4356.01; Alameda County; California","5449","750",
"1400000US06001435602","Census Tract 4356.02; Alameda County; California","5671","586",
"1400000US06001435700","Census Tract 4357; Alameda County; California","4819","536",
"1400000US06001435800","Census Tract 4358; Alameda County; California","5687","539",
"1400000US06001435900","Census Tract 4359; Alameda County; California","5290","850",
"1400000US06001436000","Census Tract 4360; Alameda County; California","5114","609",
"1400000US06001436100","Census Tract 4361; Alameda County; California","5765","1012",
"1400000US06001436200","Census Tract 4362; Alameda County; California","4128","587",
"1400000US06001436301","Census Tract 4363.01; Alameda County; California","5255","791",
"1400000US06001436302","Census Tract 4363.02; Alameda County; California","3932","492",
"1400000US06001436402","Census Tract 4364.02; Alameda County; California","2688","431",
"1400000US06001436403","Census Tract 4364.03; Alameda County; California","4519","757",
"1400000US06001436404","Census Tract 4364.04; Alameda County; California","3232","473",
"1400000US06001436500","Census Tract 4365; Alameda County; California","5289","631",
"1400000US06001436601","Census Tract 4366.01; Alameda County; California","6634","774",
"1400000US06001436602","Census Tract 4366.02; Alameda County; California","5255","660",
"1400000US06001436700","Census Tract 4367; Alameda County; California","3367","470",
"1400000US06001436800","Census Tract 4368; Alameda County; California","4196","592",
"1400000US06001436900","Census Tract 4369; Alameda County; California","6403","687",
"1400000US06001437000","Census Tract 4370; Alameda County; California","3471","550",
"1400000US06001437101","Census Tract 4371.01; Alameda County; California","7960","736",
"1400000US06001437102","Census Tract 4371.02; Alameda County; California","4457","616",
"1400000US06001437200","Census Tract 4372; Alameda County; California","8491","1021",
"1400000US06001437300","Census Tract 4373; Alameda County; California","3135","373",
"1400000US06001437400","Census Tract 4374; Alameda County; California","3733","439",
"1400000US06001437500","Census Tract 4375; Alameda County; California","4172","508",
"1400000US06001437600","Census Tract 4376; Alameda County; California","3455","526",
"1400000US06001437701","Census Tract 4377.01; Alameda County; California","3597","729",
"1400000US06001437702","Census Tract 4377.02; Alameda County; California","3880","636",
"1400000US06001437800","Census Tract 4378; Alameda County; California","4940","696",
"1400000US06001437900","Census Tract 4379; Alameda County; California","2032","324",
"1400000US06001438000","Census Tract 4380; Alameda County; California","3645","578",
"1400000US06001438100","Census Tract 4381; Alameda County; California","7953","1284",
"1400000US06001438201","Census Tract 4382.01; Alameda County; California","4895","642",
"1400000US06001438203","Census Tract 4382.03; Alameda County; California","4091","622",
"1400000US06001438204","Census Tract 4382.04; Alameda County; California","6371","694",
"1400000US06001438300","Census Tract 4383; Alameda County; California","3899","419",
"1400000US06001438400","Census Tract 4384; Alameda County; California","2671","391",
"1400000US06001440100","Census Tract 4401; Alameda County; California","2661","262",
"1400000US06001440200","Census Tract 4402; Alameda County; California","5641","664",
"1400000US06001440301","Census Tract 4403.01; Alameda County; California","7074","1071",
"1400000US06001440304","Census Tract 4403.04; Alameda County; California","4662","636",
"1400000US06001440305","Census Tract 4403.05; Alameda County; California","4064","527",
"1400000US06001440306","Census Tract 4403.06; Alameda County; California","3787","383",
"1400000US06001440307","Census Tract 4403.07; Alameda County; California","4481","930",
"1400000US06001440308","Census Tract 4403.08; Alameda County; California","6011","700",
"1400000US06001440331","Census Tract 4403.31; Alameda County; California","3276","384",
"1400000US06001440332","Census Tract 4403.32; Alameda County; California","3203","343",
"1400000US06001440333","Census Tract 4403.33; Alameda County; California","2732","399",
"1400000US06001440334","Census Tract 4403.34; Alameda County; California","4041","690",
"1400000US06001440336","Census Tract 4403.36; Alameda County; California","4248","487",
"1400000US06001440337","Census Tract 4403.37; Alameda County; California","2852","494",
"1400000US06001440338","Census Tract 4403.38; Alameda County; California","4095","902",
"1400000US06001441100","Census Tract 4411; Alameda County; California","4632","609",
"1400000US06001441200","Census Tract 4412; Alameda County; California","7354","905",
"1400000US06001441301","Census Tract 4413.01; Alameda County; California","3330","385",
"1400000US06001441302","Census Tract 4413.02; Alameda County; California","5828","592",
"1400000US06001441401","Census Tract 4414.01; Alameda County; California","7549","819",
"1400000US06001441402","Census Tract 4414.02; Alameda County; California","5344","560",
"1400000US06001441501","Census Tract 4415.01; Alameda County; California","5723","688",
"1400000US06001441503","Census Tract 4415.03; Alameda County; California","7416","779",
"1400000US06001441521","Census Tract 4415.21; Alameda County; California","6016","706",
"1400000US06001441522","Census Tract 4415.22; Alameda County; California","5275","553",
"1400000US06001441523","Census Tract 4415.23; Alameda County; California","4264","605",
"1400000US06001441524","Census Tract 4415.24; Alameda County; California","4111","511",
"1400000US06001441525","Census Tract 4415.25; Alameda County; California","1603","328",
"1400000US06001441601","Census Tract 4416.01; Alameda County; California","4774","536",
"1400000US06001441602","Census Tract 4416.02; Alameda County; California","7509","963",
"1400000US06001441701","Census Tract 4417.01; Alameda County; California","3884","603",
"1400000US06001441702","Census Tract 4417.02; Alameda County; California","5037","735",
"1400000US06001441800","Census Tract 4418; Alameda County; California","6209","817",
"1400000US06001441921","Census Tract 4419.21; Alameda County; California","3849","468",
"1400000US06001441923","Census Tract 4419.23; Alameda County; California","5777","781",
"1400000US06001441924","Census Tract 4419.24; Alameda County; California","7199","931",
"1400000US06001441926","Census Tract 4419.26; Alameda County; California","4210","457",
"1400000US06001441927","Census Tract 4419.27; Alameda County; California","4229","631",
"1400000US06001441928","Census Tract 4419.28; Alameda County; California","3736","463",
"1400000US06001441929","Census Tract 4419.29; Alameda County; California","3064","520",
"1400000US06001442000","Census Tract 4420; Alameda County; California","2979","433",
"1400000US06001442100","Census Tract 4421; Alameda County; California","5327","668",
"1400000US06001442200","Census Tract 4422; Alameda County; California","7293","795",
"1400000US06001442301","Census Tract 4423.01; Alameda County; California","5397","624",
"1400000US06001442302","Census Tract 4423.02; Alameda County; California","6186","819",
"1400000US06001442400","Census Tract 4424; Alameda County; California","6417","869",
"1400000US06001442501","Census Tract 4425.01; Alameda County; California","3280","685",
"1400000US06001442502","Census Tract 4425.02; Alameda County; California","3866","756",
"1400000US06001442601","Census Tract 4426.01; Alameda County; California","3924","909",
"1400000US06001442602","Census Tract 4426.02; Alameda County; California","4663","616",
"1400000US06001442700","Census Tract 4427; Alameda County; California","3139","528",
"1400000US06001442800","Census Tract 4428; Alameda County; California","3115","380",
"1400000US06001442900","Census Tract 4429; Alameda County; California","7780","1010",
"1400000US06001443001","Census Tract 4430.01; Alameda County; California","2762","351",
"1400000US06001443002","Census Tract 4430.02; Alameda County; California","6599","724",
"1400000US06001443102","Census Tract 4431.02; Alameda County; California","4816","511",
"1400000US06001443103","Census Tract 4431.03; Alameda County; California","4125","703",
"1400000US06001443104","Census Tract 4431.04; Alameda County; California","5567","689",
"1400000US06001443105","Census Tract 4431.05; Alameda County; California","4668","606",
"1400000US06001443200","Census Tract 4432; Alameda County; California","3611","679",
"1400000US06001443301","Census Tract 4433.01; Alameda County; California","4399","535",
"1400000US06001443321","Census Tract 4433.21; Alameda County; California","3372","483",
"1400000US06001443322","Census Tract 4433.22; Alameda County; California","3311","340",
"1400000US06001444100","Census Tract 4441; Alameda County; California","7211","912",
"1400000US06001444200","Census Tract 4442; Alameda County; California","6782","752",
"1400000US06001444301","Census Tract 4443.01; Alameda County; California","3698","509",
"1400000US06001444303","Census Tract 4443.03; Alameda County; California","0","13",
"1400000US06001444304","Census Tract 4443.04; Alameda County; California","6408","768",
"1400000US06001444400","Census Tract 4444; Alameda County; California","5367","660",
"1400000US06001444500","Census Tract 4445; Alameda County; California","6988","855",
"1400000US06001444601","Census Tract 4446.01; Alameda County; California","6081","670",
"1400000US06001444602","Census Tract 4446.02; Alameda County; California","4935","510",
"1400000US06001450101","Census Tract 4501.01; Alameda County; California","6883","695",
"1400000US06001450102","Census Tract 4501.02; Alameda County; California","7376","681",
"1400000US06001450200","Census Tract 4502; Alameda County; California","5272","670",
"1400000US06001450300","Census Tract 4503; Alameda County; California","5374","597",
"1400000US06001450400","Census Tract 4504; Alameda County; California","7886","751",
"1400000US06001450501","Census Tract 4505.01; Alameda County; California","3400","347",
"1400000US06001450502","Census Tract 4505.02; Alameda County; California","6266","666",
"1400000US06001450601","Census Tract 4506.01; Alameda County; California","3666","338",
"1400000US06001450603","Census Tract 4506.03; Alameda County; California","4897","613",
"1400000US06001450604","Census Tract 4506.04; Alameda County; California","4993","435",
"1400000US06001450605","Census Tract 4506.05; Alameda County; California","3814","363",
"1400000US06001450606","Census Tract 4506.06; Alameda County; California","6028","620",
"1400000US06001450607","Census Tract 4506.07; Alameda County; California","5182","736",
"1400000US06001450608","Census Tract 4506.08; Alameda County; California","4658","597",
"1400000US06001450609","Census Tract 4506.09; Alameda County; California","4928","497",
"1400000US06001450701","Census Tract 4507.01; Alameda County; California","8738","1015",
"1400000US06001450741","Census Tract 4507.41; Alameda County; California","5742","676",
"1400000US06001450742","Census Tract 4507.42; Alameda County; California","5495","488",
"1400000US06001450743","Census Tract 4507.43; Alameda County; California","7435","652",
"1400000US06001450744","Census Tract 4507.44; Alameda County; California","5818","624",
"1400000US06001450745","Census Tract 4507.45; Alameda County; California","6295","852",
"1400000US06001450746","Census Tract 4507.46; Alameda County; California","3229","647",
"1400000US06001450750","Census Tract 4507.50; Alameda County; California","6858","688",
"1400000US06001450751","Census Tract 4507.51; Alameda County; California","12662","906",
"1400000US06001450752","Census Tract 4507.52; Alameda County; California","9631","825",
"1400000US06001451102","Census Tract 4511.02; Alameda County; California","3950","549",
"1400000US06001451103","Census Tract 4511.03; Alameda County; California","1361","516",
"1400000US06001451104","Census Tract 4511.04; Alameda County; California","7164","1085",
"1400000US06001451201","Census Tract 4512.01; Alameda County; California","7569","994",
"1400000US06001451202","Census Tract 4512.02; Alameda County; California","5482","707",
"1400000US06001451300","Census Tract 4513; Alameda County; California","6393","677",
"1400000US06001451401","Census Tract 4514.01; Alameda County; California","6166","950",
"1400000US06001451403","Census Tract 4514.03; Alameda County; California","2184","262",
"1400000US06001451404","Census Tract 4514.04; Alameda County; California","6631","910",
"1400000US06001451501","Census Tract 4515.01; Alameda County; California","4496","487",
"1400000US06001451503","Census Tract 4515.03; Alameda County; California","6104","587",
"1400000US06001451504","Census Tract 4515.04; Alameda County; California","1539","338",
"1400000US06001451505","Census Tract 4515.05; Alameda County; California","3159","473",
"1400000US06001451506","Census Tract 4515.06; Alameda County; California","3548","673",
"1400000US06001451601","Census Tract 4516.01; Alameda County; California","5367","698",
"1400000US06001451602","Census Tract 4516.02; Alameda County; California","6909","929",
"1400000US06001451701","Census Tract 4517.01; Alameda County; California","2936","490",
"1400000US06001451703","Census Tract 4517.03; Alameda County; California","3827","348",
"1400000US06001451704","Census Tract 4517.04; Alameda County; California","4320","556",
"1400000US06001981900","Census Tract 9819; Alameda County; California","25","32",
"1400000US06001982000","Census Tract 9820; Alameda County; California","50","19",
